checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
3,24,1,0,4139,0,0,3,3,2,3,1,27,1,1,2,3,1,1,1
3,12,3,6,3059,3,1,2,1,2,4,3,61,1,1,1,3,1,0,1
1,18,3,6,2389,2,2,4,0,2,1,0,27,2,1,1,1,1,0,1
3,24,3,6,1533,2,2,4,0,2,3,0,38,2,1,1,1,1,1,1
0,12,3,0,1037,0,1,3,3,2,4,3,39,1,1,1,3,1,0,1
3,24,3,3,929,4,1,4,3,2,2,0,31,2,1,1,1,1,1,1
1,24,3,6,1987,2,0,2,3,2,4,3,21,1,2,1,3,2,0,1
3,24,0,0,1559,2,1,4,3,2,4,0,50,0,1,1,1,1,1,1
3,5,3,0,3448,2,1,1,3,2,4,3,74,1,1,1,3,1,0,1
1,30,3,7,11998,2,2,1,1,2,1,2,34,1,1,1,3,1,1,1
1,24,3,3,3149,2,2,4,3,2,1,2,22,0,0,1,1,1,0,1
1,24,3,3,3345,2,3,4,3,2,2,1,39,1,2,1,0,1,1,1
1,12,3,9,3386,2,3,3,3,2,4,2,35,1,0,1,1,1,1,1
2,12,1,4,939,1,1,4,2,2,2,3,28,1,1,3,1,1,1,1
1,15,3,4,2511,2,4,1,0,2,4,0,23,1,2,1,1,1,0,1
3,28,0,9,7824,4,2,3,3,1,4,3,40,0,2,2,1,2,1,1
3,9,3,6,2753,0,3,3,3,0,4,0,35,1,1,1,1,1,1,1
1,24,3,6,1823,2,4,4,3,2,2,0,30,2,1,1,0,2,0,1
3,18,1,6,1098,2,4,4,0,2,4,0,65,1,1,2,2,1,0,1
3,12,1,2,2096,2,1,2,3,2,3,3,49,1,1,1,3,2,0,1
0,8,3,0,907,2,2,3,2,2,2,3,26,1,1,1,1,1,1,1
0,18,3,9,12976,2,4,3,0,2,4,2,38,1,0,1,0,1,1,1
3,6,1,6,1382,2,0,1,0,2,1,0,28,1,1,2,1,1,1,1
1,9,3,4,654,2,0,4,3,2,3,0,28,1,1,1,3,1,0,1
1,6,3,4,662,2,2,3,3,2,4,3,41,1,1,1,3,2,1,1
3,30,3,9,4811,4,1,2,0,2,4,1,24,2,2,1,3,1,0,1
0,30,1,4,2181,4,3,4,3,2,4,3,36,1,1,2,1,1,0,1
0,24,3,6,1967,2,3,4,0,2,4,0,20,1,1,1,1,1,1,1
3,12,3,9,4675,4,2,1,0,2,4,0,20,1,2,1,1,1,0,1
3,24,3,0,1258,2,1,4,3,2,1,3,25,1,1,1,1,1,1,1
3,6,1,6,1740,2,3,2,2,2,2,3,30,1,2,2,1,1,0,1
3,15,1,3,3343,2,0,4,3,2,2,2,28,1,0,1,1,1,1,1
3,12,3,0,1076,2,0,2,2,2,2,3,26,1,1,1,1,1,1,0
1,24,2,6,1024,2,2,4,2,2,4,3,48,2,1,1,1,1,0,1
0,18,3,9,2779,2,0,1,2,2,3,0,21,1,2,1,1,1,1,1
3,20,1,4,3485,4,2,2,1,2,4,3,44,1,1,2,1,1,1,1
3,15,2,3,960,3,1,3,0,2,2,1,30,1,1,2,1,1,0,1
0,30,3,3,3441,0,0,2,0,0,4,0,21,1,2,1,1,1,0,1
0,9,3,4,1549,4,2,4,3,2,2,3,35,1,1,1,2,1,0,1
3,24,3,9,3488,0,1,3,0,2,4,0,23,1,1,1,1,1,0,1
1,12,3,3,1282,2,0,2,0,2,4,0,20,1,2,1,1,1,0,1
1,18,1,7,1190,2,4,2,0,2,4,2,55,1,0,3,2,2,0,1
3,6,4,6,426,2,3,4,2,2,4,0,39,1,1,1,3,1,0,1
3,24,2,4,2538,2,3,4,3,2,4,0,47,1,1,2,3,2,0,1
0,18,2,3,4297,2,3,4,1,2,3,2,40,1,1,1,0,1,1,1
3,4,1,6,1503,2,1,2,3,2,1,3,42,1,1,2,3,2,0,1
1,36,3,3,3446,2,3,4,3,2,2,0,42,1,1,1,1,2,0,1
1,12,4,7,1108,2,1,4,3,2,3,3,28,1,1,2,1,1,0,1
0,8,3,6,760,2,1,4,0,1,2,3,44,1,1,1,3,1,0,1
1,12,3,2,684,2,0,4,3,2,4,0,40,1,2,1,3,2,0,1
3,12,3,6,776,2,0,4,2,2,2,3,28,1,1,1,1,1,0,1
0,36,4,0,1953,2,3,4,3,2,4,2,61,1,0,1,0,1,1,1
0,24,3,6,3758,1,4,1,0,2,4,2,23,1,2,1,2,1,0,1
1,12,3,6,1498,2,0,4,0,2,1,0,23,0,1,1,1,1,0,1
0,13,1,6,882,2,2,4,3,1,4,3,23,1,1,2,1,1,0,1
2,10,3,4,1240,0,3,1,0,2,4,2,48,1,0,1,3,2,0,1
1,10,1,3,2132,4,2,2,0,0,3,3,27,1,2,2,1,1,0,0
3,21,3,9,2476,4,3,4,3,2,4,3,46,1,1,1,0,1,1,1
1,60,3,0,7297,2,3,4,3,0,4,2,36,1,2,1,1,1,0,1
1,6,1,4,1361,2,2,2,3,2,4,3,40,1,1,1,3,2,0,0
1,36,3,9,5493,2,3,2,3,2,4,2,42,1,0,1,1,2,0,1
0,30,2,6,1919,0,2,4,3,2,3,2,30,2,1,2,0,1,0,1
3,18,3,0,1950,2,1,4,3,2,1,0,34,2,1,2,1,1,1,1
3,54,4,9,9436,4,0,2,3,2,2,1,39,1,1,1,3,2,0,1
1,45,4,0,11816,2,3,2,3,2,4,0,29,1,2,2,1,1,0,1
3,4,1,6,1544,2,1,2,3,2,1,3,42,1,1,3,3,2,0,1
1,12,3,4,1168,2,0,4,2,2,3,3,27,1,1,1,3,1,0,1
1,6,3,9,1352,1,4,1,0,2,2,1,23,1,2,1,2,1,1,1
3,24,3,0,4591,3,0,2,3,2,3,1,54,1,1,3,0,1,1,1
0,27,1,6,2520,1,0,4,3,2,2,1,23,1,1,2,3,1,0,1
0,12,3,4,1223,2,3,1,1,2,1,3,46,1,2,2,1,1,0,1
1,6,3,1,343,2,2,4,0,2,1,3,27,1,1,1,1,1,0,1
1,12,3,4,1372,2,1,2,1,2,3,0,36,1,1,1,1,1,0,1
0,48,4,0,12204,4,0,2,3,2,2,0,48,0,1,1,0,1,1,1
1,6,1,4,4716,4,2,1,3,2,3,3,44,1,1,2,3,2,0,1
3,12,1,6,2331,4,3,1,3,0,4,3,49,1,1,1,1,1,1,1
3,18,3,6,1453,2,2,3,0,2,1,3,26,1,1,1,1,1,0,1
0,48,4,0,3844,0,1,4,3,2,4,2,34,1,0,1,3,2,0,1
3,36,3,4,3079,4,0,4,3,2,4,3,36,1,1,1,1,1,0,1
1,12,3,3,2578,2,4,3,0,2,4,2,55,1,0,1,0,1,0,1
3,12,1,6,717,2,3,4,3,2,4,3,52,1,1,3,1,1,0,1
0,24,3,9,2760,4,3,4,3,2,4,2,36,0,0,1,1,1,1,1
3,24,1,9,2346,2,1,4,3,2,3,0,35,1,1,2,1,1,1,1
1,12,3,6,1680,1,3,3,2,2,1,3,35,1,1,1,1,1,0,1
2,15,3,2,1905,2,3,4,3,2,4,0,40,1,2,1,0,1,1,1
2,10,3,3,1275,2,2,4,0,2,2,1,23,1,1,1,1,1,0,1
3,24,2,0,3863,2,0,1,3,2,2,2,32,1,0,1,1,1,0,1
3,12,1,6,797,4,3,4,0,2,3,1,33,0,1,1,3,2,0,1
1,6,3,3,428,2,3,2,0,2,1,1,49,0,1,1,1,1,1,1
3,9,3,6,1478,2,1,4,3,2,2,0,22,1,1,1,1,1,0,1
1,24,3,3,1747,2,2,4,3,0,1,1,24,1,1,1,3,1,0,0
1,36,1,3,6229,2,2,4,0,0,4,2,23,1,2,2,3,1,1,1
3,24,2,4,717,4,3,4,2,2,4,0,54,1,1,2,1,1,1,1
1,24,1,4,1199,2,3,4,3,2,4,0,60,1,1,2,3,1,0,1
0,18,3,4,1042,4,0,4,0,2,2,1,33,1,1,1,1,1,0,1
3,18,3,9,3378,4,0,2,3,2,1,1,31,1,1,1,1,1,1,1
3,21,1,3,2288,2,2,4,0,2,4,1,23,1,1,1,1,1,1,1
1,12,3,3,2577,2,0,2,1,2,1,0,42,1,1,1,1,1,0,1
0,12,3,6,766,1,0,4,3,2,3,3,66,1,1,1,3,1,0,1
3,6,2,0,1743,0,0,1,3,2,2,3,34,1,1,2,3,1,0,1
1,24,3,3,4020,2,0,2,3,2,2,0,27,2,1,1,1,1,0,1
3,18,1,6,629,1,3,4,3,2,3,1,32,0,1,2,0,1,1,1
1,12,0,6,626,2,0,4,0,2,4,3,24,0,1,1,3,1,0,1
1,11,1,4,3939,2,0,1,3,2,2,3,40,1,1,2,3,2,0,1
0,9,3,6,1082,2,3,4,3,2,4,0,27,1,1,2,3,1,0,1
3,24,1,7,5507,2,3,3,3,2,4,2,44,1,0,2,1,1,0,1
1,24,3,4,3123,2,2,4,0,2,1,1,27,1,1,1,1,1,0,1
3,18,3,3,1533,2,2,4,2,0,1,1,43,1,1,1,3,2,0,1
0,18,1,3,1295,2,2,4,0,2,1,1,27,1,1,2,1,1,0,1
0,12,4,8,1410,2,0,2,3,2,2,3,31,1,1,1,3,1,1,1
3,36,1,4,6614,2,3,4,3,2,4,0,34,1,1,2,0,1,1,1
3,36,1,6,3342,4,3,4,3,2,2,0,51,1,1,1,1,1,1,1
0,11,2,6,4771,2,1,2,3,2,4,1,51,1,1,1,1,1,0,1
3,10,3,6,1924,2,0,1,3,2,4,1,38,1,1,1,1,1,1,0
0,18,1,0,3590,2,4,3,2,2,3,0,40,1,1,3,2,2,1,1
3,6,3,6,2108,2,1,2,2,2,2,3,29,1,2,1,1,1,0,1
3,24,1,6,5103,2,2,3,2,2,3,2,47,1,0,3,1,1,1,1
1,24,0,3,3552,2,1,3,3,2,4,0,27,0,1,1,1,1,0,1
3,48,3,0,4844,2,4,3,3,2,2,0,33,0,2,1,0,1,1,1
3,15,1,3,2788,2,1,2,0,0,3,0,24,0,1,2,1,1,0,1
0,60,2,6,7418,4,0,1,3,2,1,3,27,1,1,1,3,1,0,1
3,12,3,4,2133,4,3,4,0,2,4,2,52,1,0,1,0,1,1,1
1,27,1,0,2442,2,3,4,3,2,4,0,43,2,1,4,0,2,1,1
3,48,1,9,8858,4,1,2,3,2,1,2,35,1,0,2,1,1,1,1
3,10,3,3,2210,2,0,2,3,2,2,3,25,0,2,1,3,1,0,1
3,18,1,4,1055,2,2,4,0,2,1,1,30,1,1,2,1,1,0,1
2,12,0,6,409,3,0,3,0,2,3,3,42,1,2,2,1,1,0,1
0,21,1,0,3652,2,1,2,3,2,3,1,27,1,1,2,1,1,0,1
1,12,1,4,2171,2,0,4,3,2,4,1,38,0,1,2,3,1,0,0
1,9,1,7,1288,0,3,3,3,1,4,3,48,1,1,2,1,2,0,0
3,21,4,4,5003,4,0,1,0,2,4,1,29,0,1,2,1,1,1,1
1,24,0,4,1193,2,4,1,0,0,4,2,29,1,2,2,2,1,0,1
3,27,2,9,8613,3,0,2,3,2,2,0,27,1,1,2,1,1,0,1
3,18,3,4,1820,2,0,2,2,2,2,1,30,1,1,1,0,1,1,1
1,42,3,3,7882,2,1,2,3,1,4,1,45,1,0,1,1,2,0,1
0,12,3,4,1318,3,3,4,3,2,4,3,54,1,1,1,1,1,1,1
1,24,3,3,3234,2,2,4,0,2,4,3,23,1,2,1,3,1,1,1
0,24,4,0,4241,2,0,1,3,2,4,3,36,1,1,3,3,1,1,1
3,30,1,6,2831,2,0,4,0,2,2,0,33,1,1,1,1,1,1,1
1,12,3,3,708,2,0,2,3,1,3,1,38,1,1,1,3,2,0,1
2,30,2,0,1908,2,3,4,3,2,4,3,66,1,1,1,0,1,1,1
1,6,1,3,3384,2,0,1,1,2,4,3,44,1,2,1,0,1,1,1
3,12,1,0,2292,2,4,4,3,2,2,0,42,2,1,2,0,1,1,1
3,60,2,6,15653,2,1,2,3,2,4,0,21,1,1,2,1,1,1,1
1,16,1,4,2625,2,3,2,3,1,4,1,43,0,2,1,1,1,1,1
3,24,3,3,3972,2,1,2,0,2,4,1,25,1,2,1,1,1,1,1
0,48,3,6,10961,3,1,1,3,0,2,2,27,0,1,2,1,1,1,1
3,24,2,0,8648,2,2,2,3,2,2,0,27,0,1,2,1,1,1,1
3,18,1,6,6070,2,3,3,3,2,4,0,33,1,1,2,1,1,1,1
3,13,3,6,1409,0,4,2,0,2,4,3,64,1,1,1,1,1,0,1
0,9,3,6,790,1,0,4,0,2,3,3,66,1,1,1,3,1,0,1
1,12,3,6,727,0,2,4,2,2,3,2,33,1,1,1,3,1,1,1
0,6,1,8,932,4,1,1,0,2,3,1,39,1,1,2,3,1,0,1
1,24,0,4,2325,0,1,2,3,2,3,0,32,0,1,1,1,1,0,1
3,21,3,3,2241,2,3,4,3,2,2,3,50,1,1,2,1,1,0,1
0,24,3,3,4057,2,1,3,1,2,3,0,43,1,1,1,1,1,1,1
0,20,2,5,2629,2,0,2,3,2,3,0,29,0,1,2,1,1,1,1
1,42,3,6,3965,2,2,4,3,2,3,0,34,1,1,1,1,1,0,1
3,9,1,4,1224,2,0,3,3,2,1,3,30,1,1,2,1,1,0,1
0,12,3,3,1922,2,0,4,3,2,2,1,37,1,1,1,3,1,0,1
3,36,3,6,2299,1,3,4,3,2,4,0,39,1,1,1,1,1,0,1
3,18,3,0,1568,0,0,3,0,2,4,1,24,1,2,1,3,1,0,1
0,9,3,2,1199,2,1,4,0,2,4,1,67,1,1,2,0,1,1,1
3,12,2,9,1503,2,0,4,2,2,4,3,41,1,2,1,1,1,0,1
1,12,4,4,1082,2,0,4,3,2,4,0,48,0,1,2,1,1,0,1
3,6,3,3,4611,2,2,1,0,2,4,1,32,1,1,1,1,1,0,1
0,24,2,6,1553,0,1,3,0,2,2,1,23,1,2,2,1,1,1,1
1,6,3,4,14896,2,3,1,3,2,4,2,68,0,1,1,0,1,1,1
3,36,4,7,2613,2,0,4,3,2,2,0,27,1,1,2,1,1,0,1
3,12,3,3,763,2,0,4,0,2,1,3,26,1,1,1,1,1,1,1
3,15,1,6,1471,2,0,4,3,2,4,2,35,1,0,2,1,1,1,1
0,48,4,0,14421,2,0,2,3,2,2,0,25,1,1,1,1,1,1,1
3,12,1,3,1258,2,2,2,0,2,4,1,22,1,2,2,3,1,0,1
3,12,1,4,682,0,1,4,0,2,3,0,51,1,1,2,1,1,1,1
3,18,1,6,2238,2,0,2,0,2,1,0,25,1,1,2,1,1,0,1
0,24,0,2,1837,2,1,4,0,2,4,2,34,0,0,1,3,1,0,1
0,16,1,4,1175,2,4,2,3,2,3,0,68,1,0,3,2,1,1,1
3,39,3,9,8588,0,3,4,3,2,2,0,45,1,1,1,0,1,1,1
0,12,3,6,1331,2,2,2,3,2,1,0,22,2,1,1,1,1,0,1
3,11,1,6,1154,0,4,4,0,2,4,3,57,1,1,3,3,1,0,1
0,60,3,4,7408,0,2,4,0,2,2,1,24,1,1,1,0,1,0,1
1,24,0,3,2828,1,0,4,3,2,4,3,22,2,1,1,1,1,1,1
1,15,4,4,950,2,3,4,3,2,3,0,33,1,2,2,1,2,0,1
0,6,0,4,931,0,2,1,0,2,1,1,32,2,1,1,3,1,0,1
0,18,2,4,2899,4,3,4,3,2,4,0,43,1,1,1,1,2,0,1
1,48,0,0,7685,2,1,2,0,1,4,0,37,1,2,1,1,1,0,1
0,18,1,3,6361,2,3,2,3,2,1,2,41,1,1,1,1,1,1,1
3,6,3,3,1543,3,0,4,1,2,2,3,33,1,1,1,1,1,0,1
1,18,2,2,8471,4,0,1,0,2,2,0,23,1,2,2,1,1,1,1
3,24,3,6,3235,1,3,3,1,2,2,0,26,1,1,1,0,1,1,1
1,40,1,2,5998,2,0,4,3,2,3,2,27,0,1,1,1,1,1,1
2,12,3,6,1297,2,0,3,2,2,4,3,23,1,2,1,1,1,0,1
3,27,3,4,2570,2,0,3,0,2,3,3,21,1,2,1,1,1,0,1
3,15,3,6,1213,1,3,4,3,2,3,1,47,2,1,1,1,1,1,1
3,9,3,4,3577,0,0,1,3,1,2,3,26,1,2,1,1,2,0,0
0,12,3,6,1103,2,1,4,3,1,3,3,29,1,1,2,1,1,0,0
3,10,3,8,894,4,1,4,0,2,3,1,40,1,1,1,1,1,1,1
0,36,3,4,12389,4,0,1,3,2,4,2,37,1,0,1,1,1,1,1
2,24,1,3,3617,4,3,4,3,0,4,2,20,1,2,2,1,1,0,1
0,24,3,6,2039,2,2,1,2,2,1,1,22,1,1,1,1,1,1,1
0,24,3,6,5084,4,3,2,0,2,4,0,42,1,1,1,1,1,1,1
0,24,2,0,6967,0,1,4,3,2,4,0,36,1,2,1,0,1,1,1
3,24,3,4,1474,0,2,4,2,2,3,3,33,1,1,1,1,1,1,1
0,48,0,0,6416,2,3,4,0,2,3,2,59,1,2,1,1,1,0,1
3,9,3,3,1388,2,0,4,0,2,2,3,26,1,2,1,1,1,0,1
3,12,3,6,1493,2,2,4,0,2,3,0,34,1,1,1,1,2,0,1
0,24,2,0,4712,4,0,4,3,2,2,1,37,0,1,2,0,1,1,1
1,24,1,0,1382,0,1,4,3,2,1,3,26,1,1,2,1,1,1,1
0,18,3,0,2622,0,0,4,3,2,4,0,34,1,1,1,1,1,0,1
1,36,3,5,15857,2,4,2,1,0,3,0,43,1,1,1,0,1,0,1
3,36,1,9,10477,4,3,2,3,2,4,2,42,1,0,2,1,1,0,1
2,6,1,4,1299,2,0,1,3,2,1,3,74,1,1,3,2,2,0,0
0,36,3,6,2671,0,0,4,0,0,4,2,50,1,0,1,1,1,0,1
1,36,3,3,3620,2,0,1,3,1,2,1,37,1,1,1,1,2,0,1
1,18,3,3,2659,3,0,4,3,2,2,0,28,1,1,1,1,1,0,1
3,15,3,9,3812,0,2,1,0,2,4,0,23,1,1,1,1,1,1,1
1,18,3,6,2600,2,0,4,3,2,4,2,65,1,0,2,1,1,0,1
1,36,3,4,9271,2,1,2,3,2,1,0,24,1,1,1,1,1,1,1
0,9,0,9,5129,2,3,2,0,2,4,2,74,0,0,1,0,2,1,1
0,15,1,6,1537,4,3,4,3,1,4,3,50,1,1,2,1,1,1,1
1,36,3,9,8229,2,0,2,3,2,2,1,26,1,1,1,1,2,0,1
2,15,3,2,392,2,2,4,0,2,4,1,23,1,2,1,1,1,1,1
3,18,3,4,6761,4,0,2,3,2,4,0,68,1,2,2,1,1,0,1
1,30,3,6,2522,2,3,1,3,1,3,1,39,1,1,1,1,2,0,1
3,18,2,6,2320,2,4,2,2,2,3,3,34,1,1,2,1,1,0,1
1,24,2,4,1333,2,4,4,3,2,2,3,43,1,0,2,1,2,0,1
3,12,3,6,804,2,3,4,3,2,4,0,38,1,1,1,1,1,0,1
3,33,2,0,2764,2,0,2,0,2,2,0,26,1,1,2,1,1,1,1
1,10,1,4,2241,2,2,1,3,2,3,3,48,1,2,2,3,2,0,0
0,10,3,3,1521,2,0,4,1,2,2,0,31,1,1,1,3,1,0,1
0,21,3,0,2767,0,3,4,1,2,2,0,61,0,2,2,3,1,0,1
1,36,3,3,3959,2,4,4,3,2,3,1,30,1,1,1,0,1,1,1
3,10,1,3,2146,2,2,1,0,2,3,3,23,1,2,2,1,1,0,1
3,24,1,3,2028,2,1,2,3,2,2,1,30,1,1,2,3,1,0,1
1,24,3,6,3660,2,0,2,0,2,4,0,28,1,1,1,1,1,0,1
3,28,1,6,2743,2,3,4,3,2,2,0,29,1,1,2,1,1,0,1
3,12,3,3,1574,2,0,4,3,2,2,3,50,1,1,1,1,1,0,1
0,15,3,4,2631,0,0,2,0,2,4,0,28,1,2,2,1,1,1,1
0,54,4,0,15945,2,2,3,3,2,4,2,58,1,2,1,1,1,1,1
0,14,3,0,1410,1,3,1,2,2,2,3,35,1,1,1,1,1,1,1
3,12,3,9,1413,3,1,3,3,2,2,1,55,1,1,1,1,1,0,0
0,21,2,4,2353,2,0,1,1,2,4,1,47,1,1,2,1,1,0,1
0,20,2,9,7057,4,1,3,3,2,4,1,36,0,2,2,0,2,1,1
1,18,3,6,1882,2,0,4,0,2,4,0,25,0,2,2,1,1,0,1
3,6,1,4,362,0,0,4,0,2,4,0,52,1,1,2,3,1,0,1
0,21,3,0,1188,2,3,2,0,2,4,1,39,1,1,1,1,2,0,1
1,30,3,3,3622,3,3,4,0,2,4,1,57,1,2,2,1,1,1,1
3,21,2,9,2993,2,0,3,3,2,2,3,28,2,1,2,3,1,0,1
3,15,3,3,2708,2,2,2,3,2,3,1,27,0,1,2,3,1,0,1
3,15,3,2,4623,0,0,3,3,2,2,1,40,1,1,1,0,1,1,1
0,48,3,4,6560,0,1,3,3,2,2,1,24,1,1,1,1,1,0,1
1,42,1,7,3394,2,4,4,3,0,4,0,65,1,1,2,2,1,0,1
1,14,3,4,3973,2,4,1,3,2,4,2,22,1,0,1,1,1,0,1
1,48,3,2,7476,2,1,4,3,2,1,2,50,1,0,1,0,1,1,1
0,12,4,3,2969,2,2,4,0,2,3,1,25,1,2,2,1,1,0,1
3,18,3,3,2515,2,0,3,3,2,4,3,43,1,1,1,1,1,1,1
1,18,0,3,1553,2,0,4,3,2,3,0,44,0,1,1,1,1,0,1
3,15,3,3,2186,4,1,1,0,2,4,3,33,0,2,1,3,1,0,1
3,12,3,4,2859,4,4,4,3,2,4,2,38,1,1,1,0,1,1,1
1,24,3,5,1755,2,3,4,0,1,4,3,58,1,1,1,3,1,1,1
3,24,3,3,3062,1,3,4,3,2,3,2,32,1,2,1,1,1,1,1
1,21,3,6,3357,3,2,4,0,2,2,0,29,0,1,1,1,1,0,1
1,6,1,4,860,2,3,1,0,2,4,2,39,1,1,2,1,1,1,1
